additional features,brand,cellular,color,condition,contract,design,digital camera,display size,display technology,gps,id,manufacturer part number,model,network generation,network technology,normalized_product_name,operating system,product type,speakerphone,storage,url,warc,wattage,weight
,apple,gsm,pink,verizon,without contract,bar,yes,4 in,retina,yes,node10ae61df6f3aa66b81ac8675d289d48,me556ll/a,iphone 5c,"2g, 3g, 4g",lte,iphone 5c 16gb,ios,smartphone,yes,16gb,http://www.ebay.com/itm/apple-iphone-5c-16gb-green-verizon-factory-unlocked-/252273895018?hash=item3abcb2266a:g:7zmaaosw--1wr49t,ebay.com0.warc.nq.gz,1510mah,4.65 oz
,apple,,space gray,"new a brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. see the seller's listing for full details.",,,yes,5.5 in,retina hd,yes,node172e4044fa8231bdb8f691cc9af1f3,mgd22ll/a,iphone 6 plus,4g,gsm,iphone 6 plus 64gb,ios8,smartphone,yes,64gb,http://www.shop.com/apple+iphone+6+plus+64gb+4g+lte+unlocked+gsm+ios8+cell+phone+-936553822-o+.xhtml,shop.com0.warc.nq.gz,2915mah,6.07 oz
"3g data capable, 4g data capable, bluetooth enabled, fingerprint sensor, near field communication, gps, internet browser, music player, speakerphone, touchscreen, wi-fi capable, voice-activated dialing",samsung,,white,factory unlocked,without contract,bar,y,5.1 in,,,nodedcfb98522d11ad358447b095b5924099,,galaxy s5,4g,,samsung galaxy s5 16gb,android 5 lollipop,smart phone,,16gb,http://www.tesco.com/direct/samsung-galaxy-s5-neo-black/690-3679.prd?pagelevel=&skuid=690-3679,ebay.com0.warc.nq.gz,2800,145.0?gram
"heart rate sensor, dust-resistant, selective focus, hdr, download booster, s health, fast auto focus, power saving mode, mimo, fingerprint sensor, near field communication, waterproof",huawei,"2g, 3g & 4g lte",frost,factory unlocked,without contract,smartphone,,5.7 in,,,node6028a2f38774213a152b569f10dbb0,h1512,nexus 6p,,,nexus 6p 64gb,android,smart phone,,64gb,http://www.ebay.com/itm/new-google-nexus-6p-64gb-5-7in-4g-lte-factory-unlocked-graphite-h1511-/151967267484?hash=item2361f47a9c:g:-vkaaoswktlwldhy,ebay.com0.warc.nq.gz,,
"4g data capable, bluetooth enabled, fingerprint sensor, gps, internet browser, music player, push to talk, speakerphone, touchscreen, wi-fi capable",apple,gsm/edge 850/900/1800/1900 cdma ev-do rev. a and rev. b 800/1700/1900/2100 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 lte 1/2/3/4/5/7/8/13/17/19/20/25/26/28/29,gold,"new a brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. see the seller's listing for full details. see all condition definitions- opens in a new window or tab ... read moreabout the condition",without contract,,y,5.5 in,retina hd,yes,node29d5b7ae794488411b59e6c7ab34a644,m9,iphone 6 plus,4g ready,gsm / edge / cdma ev-do rev. a and rev. b / umts / hspa+ / dc-hsdpa / lte,iphone 6 plus 16gb,ios 8,smart phone,yes,16gb,http://www.ebay.com/itm/apple-iphone-6-plus-16gb-gold-verizon-smartphone-unlocked-/321999087770?hash=item4af8a4289a:g:xbgaaoswfqjws5m1,ebay.com0.warc.nq.gz,2915mah,6.07 oz
"4g data capable, bluetooth enabled, fingerprint sensor, global ready, gps, near field communication, qwerty keyboard, speakerphone, touchscreen, wi-fi capable",lg,make sure your carrier support the 4g/lte bands,metallic grey,factory unlocked,without contract,bar,,5.5 in,,,node77c06821fa74227a78e5636ebd7c0a9,,g4,,,lg g4,,,,32gb,http://www.ebay.com/itm/new-lg-g4-h815-32gb-hexa-core-factory-unlocked-5-5-qhd-16mp-grey-/191799220871?hash=item2ca81fda87:g:uukaaoswktlwhp8~,ebay.com0.warc.nq.gz,,
,,,,,,,,,,,,,,,,samsung galaxy s4 mini,,,,,,,,
,huawei,,matte gold,factory unlockedoperating system android,without contract,,,5.7 in,,,node0d8a2c18d36660a9ff23edbc57142,h1512,nexus 6p,,,nexus 6p 32gb,android,,,32gb,http://www.ebay.com/itm/huawei-google-nexus-6p-32-gb-aluminum-/111828992888?hash=item1a09870378:g:lqgaaoswt4lwq8yj,ebay.com0.warc.nq.gz,,
yesscreen,apple,gsm/edge 850/900/1800/1900 cdma ev-do rev. a and rev. b 800/1900/2100 umts/hspa+/dc-hsdpa 850/900/1900/2100 lte 1/3/5/13/25,black & slate,verizon,,bar,yes,4.7 in,retina,yes,node1e726c4942586a3d79d9765144ed7bb2,md658ll/a,iphone 5,"2g, 3g, 4g",gsm/edge 850/900/1800/1900 cdma ev-do rev. a and rev. b 800/1700/1900/2100 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 lte 1/2/3/4/5/7/8/13/17/19/20/25/26/28/29,iphone 5 32gb,,smartphone,yes,32gb,http://www.ebay.com/itm/apple-iphone-6-128gb-verizon-page-plus-smartphone-read-description-/262256718684?hash=item3d0fb7f35c:g:k94aaoswuv9wpg1s,ebay.com1.warc.nq.gz,1440mah,3.95 oz
"3g data capable, 4g data capable, bluetooth enabled, global ready, gps, internet browser, music player, push to talk, qwerty keyboard, speakerphone, touchscreen, voice-activated dialing, wi-fi capable",apple,,pink,refurbished,unlocked,bar,,,,,nodeff9762bc5da41d1ab3c3bd6c36401240,,iphone 5c,,gsm unlocked,iphone 5s 16gb;iphone 5s 32gb;iphone 5s 64gb,,,,,http://www.walmart.com/ip/49017046,walmart.com0.warc.nq.gz,,
